author,count
Alex Gendler,45
Iseult Gillespie,33
Matt Walker,18
Alex Rosenthal,15
Elizabeth Cox,13
Emma Bryce,12
Juan Enriquez,11
Daniel Finkel,11
Jen Gunter,9
Dan Finkel,9
Mona Chalabi,9
Wendy De La Rosa,9
Greg Gage,9
Hans Rosling,9
Bill Gates,8
Marco Tempest,7
 TED-Ed,7
Dan Kwartler,7
Al Gore,6
Jacqueline Novogratz,6
Joy Lin,6
Chris Anderson,6
A.J. Jacobs,6
Soraya Field Fiorio,6
Fabio Pacucci,6
Dan Ariely,6
Rives,6
Eve Ensler,5
Kristen Bell + Giant Ant,5
Michael Green,5
Mia Nacamulli,5
Christina Greer,5
Barry Schwartz,5
Clay Shirky,5
Steven Johnson,5
Sir Ken Robinson,5
Julian Treasure,5
Ilan Stavans,5
Colm Kelleher,5
Nicholas Negroponte,5
Paola Antonelli,5
Rose Eveleth,5
Lawrence Lessig,4
The TED Interview,4
Stefan Sagmeister,4
Margaret Heffernan,4
Jonathan Drori,4
Bjarke Ingels,4
David Pogue,4
Dan Dennett,4
Kenny Coogan,4
Sarah Parcak,4
Louie Schwartzberg,4
Mark Robinson,4
Claudia Aguirre,4
Daniel Kraft,4
Raj Panjabi,4
Tom Wujec,4
Lucianne Walkowicz,4
Eleanor Nelsen,4
Jonathan Haidt,4
Dennis Shasha,4
Kevin Kelly,4
Pico Iyer,4
Robert Full,4
Stewart Brand,4
Jeff Dekofsky,4
Amy Adkins,4
Shunan Teng,4
Adam Grant,4
Far Flung,4
Sajan Saini,4
Anees Bahji,4
Eric Liu,4
George Zaidan,4
Michael Sandel,4
John McWhorter,4
Stefan Al,4
Danny Hillis,4
Steven Pinker,4
Enric Sala,4
Christopher Warner,3
Nick Bostrom,3
Andrew Youn,3
TED-Ed,3
WorkLife with Adam Grant,3
Margaret Gould Stewart,3
Krishna Sudhir,3
Esther Perel,3
Malcolm Gladwell,3
Johan Rockström,3
Matt Anticole,3
Lucy Cooke,3
David Brooks,3
Catherine Mohr,3
Elif Shafak,3
Sally Kohn,3
Arthur Benjamin,3
Camille Seaman,3
Deborah Gordon,3
Seth Berkley,3
Raghava KK,3
Helen M. Farrell,3
Sebastian Wernicke,3
Nicola Sturgeon,3
Prosanta Chakrabarty,3
Philip Zimbardo,3
Brian Cox,3
Larry Brilliant,3
Skylar Tibbits,3
Ngozi Okonjo-Iweala,3
Yves Béhar,3
Simon Sinek,3
Edith Widder,3
Nancy Lublin,3
Richard Dawkins,3
Shereen El Feki,3
Jane McGonigal,3
Luka Seamus Wright,3
Sheila Marie Orfano,3
Brian A. Pavlac,3
Nellie McKay,3
His Holiness Pope Francis,3
Tim Berners-Lee,3
Paul Rucker,3
Christopher Soghoian,3
Tan Le,3
Karen Armstrong,3
Chip Kidd,3
Mikko Hypponen,3
Rod Phillips,3
David Gallo,3
Peter Diamandis,3
Patty McCord,3
Noah Charney,3
Blaise Agüera y Arcas,3
Janet Iwasa,3
Dean Kamen,3
Jane Goodall,3
Ray Kurzweil,3
Monica Araya,3
Sugata Mitra,3
Guy Winch,3
Zeynep Tufekci,3
Mariana Mazzucato,3
Moriba Jah,3
David Deutsch,3
Dean Ornish,3
Vishaan Chakrabarti,3
Craig Venter,3
Debbie Millman,3
Derek Sivers,3
Robert Neuwirth,3
Eric Whitacre,3
Yuval Noah Harari,3
Emily Nagoski,3
Julia Shaw,3
Dan Gilbert,3
Nathan Myhrvold,3
Elizabeth Gilbert,3
Ben Saunders,3
