year,author,author
1970, Beautyrest,1
1970,Debbie Millman,1
1972,Viktor Frankl,1
1983,Richard Feynman,1
1984,Nicholas Negroponte,1
1990,Frank Gehry,1
1991,Richard Dawkins,1
1994,Danny Hillis,1
1998,Aimee Mullins,1
1998,Billy Graham,1
1998,Brenda Laurel,1
1998,David Gallo,1
1998,Milton Glaser,1
1998,Paul MacCready,1
2001,C.K. Williams,1
2001,Douglas Adams,1
2001,Eva Zeisel,1
2001,John Wooden,1
2001,Sherwin Nuland,1
2002,Ben Katchor,1
2002,Bill Strickland,1
2002,Chris Anderson,1
2002,Chris Bangle,1
2002,Christopher C. Deam,1
2002,Dan Dennett,1
2002,David Kelley,1
2002,David Macaulay,1
2002,David Rockwell,1
2002,Dean Kamen,1
2002,Emily Levine,1
2002,Frank Gehry,1
2002,George Dyson,1
2002,Kary Mullis,1
2002,Keith Bellows,1
2002,Mae Jemison,1
2002,Michael Moschen,1
2002,Moshe Safdie,1
2002,Natalie MacMaster,1
2002,Nathaniel Kahn,1
2002,Niels Diffrient,1
2002,Pamelia Kurstin,1
2002,Raspyni Brothers,1
2002,Richard Dawkins,1
2002,Robert Full,1
2002,Stephen Petranek,1
2003,Eddi Reader,2
2003,Bill Gross,1
2003,Dan Dennett,1
2003,David Carson,1
2003,Deborah Gordon,1
2003,Don Norman,1
2003,Evelyn Glennie,1
2003,Freeman Dyson,1
2003,George Dyson,1
2003,Gregory Stock,1
2003,James Burchfield,1
2003,Jane Goodall,1
2003,Jared Diamond,1
2003,Jeff Bezos,1
2003,Jeff Hawkins,1
2003,Juan Enriquez,1
2003,Kristen Ashburn,1
2003,Lee Smolin,1
2003,Marvin Minsky,1
2003,Natalie MacMaster,1
2003,Noah Feldman,1
2003,Paul MacCready,1
2003,Reed Kroloff,1
2003,Rodney Brooks,1
2003,Seth Godin,1
2003,Sherwin Nuland,1
2003,Steven Johnson,1
2003,Steven Pinker,1
2003,Tierney Thys,1
2003,Tom Shannon,1
2003,Torsten Reil,1
2003,Vik Muniz,1
2003,Wade Davis,1
2004,Al Seckel,1
2004,Arthur Ganson,1
2004,Chris Anderson,1
2004,Dan Gilbert,1
2004,David Holt,1
2004,Dean Ornish,1
2004,Edwidge Danticat,1
2004,Eve Ensler,1
2004,Felix Dennis,1
2004,Golan Levin,1
2004,James Howard Kunstler,1
2004,Jennifer Lin,1
2004,Joseph Pine,1
2004,Keith Barry,1
2004,Malcolm Gladwell,1
2004,Martin Seligman,1
2004,Matthieu Ricard,1
2004,Michael Merzenich,1
2004,Mihaly Csikszentmihalyi,1
2004,Nancy Etcoff,1
2004,Paul Moller,1
2004,Rachelle Garniez,1
2004,Richard Pyle,1
2004,Sergey Brin + Larry Page,1
2004,Sheila Patek,1
2004,Stefan Sagmeister,1
2004,Steven Levitt,1
2004,Steven Strogatz,1
2004,Stewart Brand,1
2004,Susan Savage-Rumbaugh,1
2004,Virginia Postrel,1
2004,Woody Norris,1
2004,Ze Frank,1
2005,Alex Steffen,1
2005,Alison Jackson,1
2005,Amory Lovins,1
2005,Anna Deavere Smith,1
2005,Arthur Benjamin,1
2005,Ashraf Ghani,1
2005,Aubrey de Grey,1
2005,Barry Schwartz,1
2005,Ben Saunders,1
2005,Bjorn Lomborg,1
2005,Bono,1
2005,Brian Greene,1
2005,Carl Honoré,1
2005,Caroline Lavelle,1
2005,Charles Fleischer,1
2005,Charles Leadbeater,1
2005,Clay Shirky,1
2005,Craig Venter,1
2005,Dan Gilbert,1
2005,David Deutsch,1
2005,Edward Burtynsky,1
2005,Eva Vertes,1
2005,Eve Ensler,1
2005,Frans Lanting,1
2005,Graham Hawkes,1
2005,Greg Lynn,1
2005,Howard Rheingold,1
2005,Iqbal Quadir,1
2005,Jacqueline Novogratz,1
2005,James Surowiecki,1
2005,James Watson,1
2005,Janine Benyus,1
2005,Jimmy Wales,1
2005,Kevin Kelly,1
2005,Larry Burns,1
2005,Lennart Green,1
2005,Luca Turin,1
2005,Martin Rees,1
2005,Michael Sandel,1
2005,Nick Bostrom,1
2005,Paul Bennett,1
2005,Paul Sereno,1
2005,Peter Diamandis,1
2005,Peter Donnelly,1
2005,Pilobolus,1
2005,Ray Kurzweil,1
2005,Richard Dawkins,1
2005,Richard St. John,1
2005,Robert Fischell,1
2005,Robert Full,1
2005,Robert Neuwirth,1
2005,Ross Lovegrove,1
2005,Sasa Vucinic,1
2005,Scott McCloud,1
2005,Steve Jobs,1
2005,Steven Levitt,1
2005,Steven Pinker,1
2005,Taylor Mali,1
2005,Terry Moore,1
2005,Thom Mayne,1
2005,Thomas Barnett,1
2005,Tom Honey,1
2005,William McDonough,1
2005,Yochai Benkler,1
2005,Zach Kaplan + Keith Schacht,1
2006,Rives,2
2006,Al Gore,1
2006,Alan Russell,1
2006,Amy Smith,1
2006,Bill Joy,1
2006,Burt Rutan,1
2006,Cameron Sinclair,1
2006,Clifford Stoll,1
2006,Dan Dennett,1
2006,David Perry,1
2006,David Pogue,1
2006,Dean Ornish,1
2006,Einstein the Parrot,1
2006,Ethel,1
2006,Hans Rosling,1
2006,Helen Fisher,1
2006,Jamais Cascio,1
2006,Jeff Han,1
2006,Jehane Noujaim,1
2006,Jill Sobule,1
2006,Joe DeRisi,1
2006,Joshua Prince-Ramus,1
2006,Julia Sweeney,1
2006,Larry Brilliant,1
2006,Majora Carter,1
2006,Mena Trott,1
2006,Michael Shermer,1
2006,Neil Gershenfeld,1
2006,Nicholas Negroponte,1
2006,Nora York,1
2006,Penelope Boston,1
2006,Peter Gabriel,1
2006,Phil Borges,1
2006,Richard Baraniuk,1
2006,Rick Warren,1
2006,Rob Forbes,1
2006,Robert Thurman,1
2006,Robert Wright,1
2006,Saul Griffith,1
2006,Seth Godin,1
2006,Sir Ken Robinson,1
